Designator,Mid X,Mid Y,Layer,Rotation,Package,Value
"D1","-40.3087mm","42.4252mm","Top",0,"SOD-123_L2.7-W1.6-LS3.7-RD",""
"D2","-40.3087mm","34.5081mm","Top",0,"SOD-123_L2.7-W1.6-LS3.7-RD",""
"D3","-40.3087mm","26.288mm","Top",0,"SOD-123_L2.7-W1.6-LS3.7-RD",""
"D4","-40.3087mm","17.6906mm","Top",0,"SOD-123_L2.7-W1.6-LS3.7-RD",""
"D5","-40.3087mm","10.4952mm","Top",0,"SOD-123_L2.7-W1.6-LS3.7-RD",""
"D6","-40.3087mm","1.9626mm","Top",0,"SOD-123_L2.7-W1.6-LS3.7-RD",""
"D7","-33.1169mm","42.4252mm","Top",0,"SOD-123_L2.7-W1.6-LS3.7-RD",""
"D8","-33.1169mm","34.2051mm","Top",0,"SOD-123_L2.7-W1.6-LS3.7-RD",""
"D9","-33.1169mm","26.288mm","Top",0,"SOD-123_L2.7-W1.6-LS3.7-RD",""
"D10","-33.1169mm","17.6906mm","Top",0,"SOD-123_L2.7-W1.6-LS3.7-RD",""
"D11","-33.1169mm","10.4952mm","Top",0,"SOD-123_L2.7-W1.6-LS3.7-RD",""
"D12","-33.1169mm","1.9626mm","Top",0,"SOD-123_L2.7-W1.6-LS3.7-RD",""
"J1","70.7877mm","-65.4357mm","Top",0,"",""
"J2","48.604mm","-58.89mm","Top",0,"",""
"J3","7.8245mm","-80.3895mm","Top",0,"",""
"J4","-7.0793mm","-91.2351mm","Top",0,"",""
"LED1","1.0001mm","36.4141mm","Top",90,"",""
"LED2","1mm","-34.2559mm","Top",90,"",""
"LED3","28.271mm","36.8769mm","Top",90,"",""
"LED4","57.2457mm","36.414mm","Top",90,"",""
"LED5","1mm","-13.1856mm","Top",90,"",""
"LED6","56.7457mm","-11.8077mm","Top",90,"",""
"LED7","56.9956mm","12.5153mm","Top",90,"",""
"LED8","-73.7327mm","-36.142mm","Top",90,"",""
"LED9","28.5209mm","-34.0906mm","Top",90,"",""
"LED10","56.2456mm","-34.256mm","Top",90,"",""
"LED13","28.5209mm","-12.8036mm","Top",90,"",""
"LED14","29.021mm","12.5153mm","Top",90,"",""
"LED15","1.2501mm","11.1373mm","Top",90,"",""
"M3 Mounting Hole","74.3277mm","-43.8457mm","Top",0,"",""
"M3 Mounting Hole","74.3278mm","44.1951mm","Top",0,"",""
"M3 Mounting Hole","-74.9467mm","44.9253mm","Top",0,"",""
"M3 Mounting Hole","-74.0696mm","-45.2908mm","Top",0,"",""
"SW1","-13.7127mm","35.6269mm","Top",90,"",""
"SW2","-13.713mm","-34.9658mm","Top",90,"",""
"SW3","13.1479mm","36.5021mm","Top",90,"",""
"SW4","40.4643mm","36.5021mm","Top",90,"",""
"SW5","-13.7129mm","-13.0976mm","Top",90,"",""
"SW6","40.4643mm","-12.0503mm","Top",90,"",""
"SW7","40.0588mm","12.5153mm","Top",90,"",""
"SW8","-62.6018mm","-33.0942mm","Top",0,"",""
"SW9","13.1478mm","-34.0906mm","Top",90,"",""
"SW10","40.0588mm","-34.0907mm","Top",90,"",""
"SW11","-13.7128mm","10.5835mm","Top",90,"",""
"SW12","13.1478mm","12.5153mm","Top",90,"",""
"SW13","13.1078mm","-12.0503mm","Top",90,"",""
"U1","-62.6018mm","33.0979mm","Top",90,"",""
"U2","-37.3987mm","-40.0458mm","Top",90,"",""
"U3","-62.5618mm","-13.6418mm","Top",0,"",""
"U4","-62.5618mm","7.4197mm","Top",0,"",""
